id,trim,subTrim,condition,isOneOwner,mileage,year,color,displacement,fuel,state,region,soundSystem,wheelType,wheelSize,featureCount,price,miles1K
8866,550,unsp,Used,f,49308,2011,Black,5.5 L,Gasoline,NY,Mid,unsp,Alloy,unsp,24,40995,49.308
8867,550,unsp,Used,t,39239,2011,Silver,5.5 L,Gasoline,MA,New,unsp,unsp,unsp,1,49998,39.239
8876,550,unsp,Used,f,71754,2011,Gray,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,75,37900,71.754
8878,550,unsp,Used,f,43568,2011,Black,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,82,47995,43.568
8880,550,unsp,CPO,f,21503,2011,Silver,5.5 L,Gasoline,MO,WNC,unsp,unsp,unsp,73,56500,21.503
8882,550,unsp,Used,f,29529,2011,Black,5.5 L,Gasoline,WA,Pac,Premium,unsp,unsp,53,43500,29.529
8884,550,unsp,Used,t,6175,2011,Black,5.5 L,Gasoline,OH,ENC,Harman Kardon,Alloy,unsp,79,44999,6.175
8887,550,unsp,Used,f,28605,2011,Black,5.5 L,Gasoline,NY,Mid,Premium,Alloy,unsp,66,53950,28.605
8888,550,unsp,CPO,f,18267,2011,Silver,5.5 L,Gasoline,VA,SoA,unsp,Alloy,unsp,81,49989,18.267
8890,550,unsp,Used,f,27212,2011,Black,5.5 L,Gasoline,NY,Mid,unsp,Alloy,unsp,25,39995,27.212
8891,550,unsp,Used,t,22246,2011,Black,5.5 L,Gasoline,IL,ENC,Harman Kardon,Alloy,unsp,23,62992,22.246
8893,550,unsp,CPO,t,56955,2011,Black,5.5 L,Gasoline,MI,ENC,unsp,unsp,unsp,69,52995,56.955
8894,550,unsp,Used,t,47781,2011,Black,5.5 L,Gasoline,NJ,Mid,Harman Kardon,Alloy,unsp,69,49900,47.781
8896,550,unsp,CPO,t,23656,2011,White,5.5 L,Gasoline,NY,Mid,unsp,Alloy,unsp,58,57991,23.656
9363,550,unsp,Used,t,9158,2011,Black,5.5 L,Gasoline,OK,WSC,Premium,Alloy,unsp,72,60000,9.158
9374,550,unsp,Used,f,31023,2011,Black,5.5 L,Gasoline,CA,Pac,Harman Kardon,Alloy,20,75,52980,31.023
9376,550,unsp,Used,f,35011,2011,Black,5.5 L,Gasoline,NC,SoA,unsp,unsp,unsp,12,49981,35.011
9377,550,unsp,Used,f,18587,2011,Gray,5.5 L,Gasoline,NC,SoA,Harman Kardon,unsp,unsp,32,51000,18.587
9381,550,unsp,Used,f,19071,2011,White,5.5 L,Gasoline,FL,SoA,Bang Olufsen,Alloy,unsp,56,49991,19.071
9382,550,unsp,CPO,f,22236,2011,White,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,82,49991,22.236
9423,63 AMG,unsp,Used,t,8112,2011,Silver,5.5 L,Gasoline,IL,ENC,Harman Kardon,Alloy,unsp,75,86876,8.112
9424,63 AMG,unsp,Used,f,55030,2011,Black,5.5 L,Gasoline,FL,SoA,unsp,unsp,unsp,28,61991,55.03
9476,550,unsp,Used,f,41590,2011,Silver,5.5 L,Gasoline,TX,WSC,Harman Kardon,Alloy,unsp,80,45888,41.59
9484,550,unsp,Used,t,38394,2011,White,5.5 L,Gasoline,GA,SoA,Premium,Alloy,unsp,68,49950,38.394
9495,550,unsp,CPO,t,29256,2011,White,5.5 L,Gasoline,NY,Mid,Harman Kardon,Alloy,unsp,67,56991,29.256
9496,550,unsp,CPO,t,33201,2011,Silver,5.5 L,Gasoline,VA,SoA,unsp,unsp,unsp,35,64995,33.201
9497,550,unsp,Used,t,33234,2011,Black,5.5 L,Gasoline,OH,ENC,Premium,Alloy,unsp,87,56588,33.234
