"item","ped","IPA"
"RED HOOK SPORTS SERIES 6 PK         ",-1.36,FALSE
"REDHOOK ESL 6 PK                    ",-1.3,FALSE
"NAT ICE 6PK 16OZ CAN                ",-2.15,FALSE
"PABST 16 OZ 6PK                     ",-1.72,FALSE
"PABST 18PK                          ",-1.2,FALSE
"PABST 12PK                          ",-1.37,FALSE
"FULL SAIL SEASONAL 6PK              ",-1.85,FALSE
"FULL SAIL HOP PURSUIT 6PK           ",-1.71,FALSE
"FULL SAIL IPA 6PK                   ",-3.3,TRUE
"FULL SAIL AMBER 6PK                 ",-1.84,FALSE
"SESSION IPA 12PK                    ",-1.87,TRUE
"FULL SAIL PILSNER 6PK               ",-1.47,FALSE
"FULL SAIL SESSION LAGER 12PK        ",-0.36,FALSE
"BUD LT 6PK 16 OZ CAN                ",-1.63,FALSE
"CORONA 18PK CAN                     ",-1.19,FALSE
"MILLER HIGH LIFE 16 OZ 6PK          ",-1.83,FALSE
"MILLER LITE 24OZ CAN                ",-1.17,FALSE
"LITE 16OZ 6PK                       ",-1.65,FALSE
"ICEHOUSE 6PK/16 CAN                 ",-1.38,FALSE
"LEINENKUGL SEASONAL SHANDY          ",-1.3,FALSE
"LITE 16oz ALUM 9PK                  ",-1.29,FALSE
"MILLER LITE 18PK CAN                ",-1.16,FALSE
"MILLER LITE 12/12 OZ NR             ",-1.05,FALSE
"LITE 12PK 16FZ                      ",-1.09,FALSE
"ODOULS 6PK BTL                      ",-2.13,FALSE
"LEINENKUGEL SEASONAL 6PK            ",-1.1,FALSE
"MICKEYS MALT LIQ 6PK                ",-1.78,FALSE
"LEINENKUGL GRPFRT SHANDY 6PK        ",-1.94,FALSE
"WEINHARDS PRIVATE RESERVE 6PK       ",-1.53,FALSE
"WEINHARDS PRIVATE RESERVE 12PK      ",-1.33,FALSE
"HENRYS HARD ORANGE 6PK              ",-1.51,FALSE
"ALASKAN AMBER 6PK                   ",-1.68,FALSE
"ALASKAN SEASONAL 6PK                ",-1.91,FALSE
"ALASKAN ICY IPA 6PK                 ",-2.67,TRUE
"ALASKAN FREERIDE APA 6PK            ",-1.92,FALSE
"BUD LT 6PK BTL                      ",-1.76,FALSE
"ALASKAN KICKER SESSION IPA 6 PK     ",-1.78,TRUE
"ALASKAN PILOT SERIES 22             ",-1.19,FALSE
"ALASKAN HOP THERMIA 22              ",-1.63,FALSE
"ALAKAN SAMPLER 12PK                 ",-1.23,FALSE
"ALASKAN HOPTHERMIA 4PK              ",-1.22,FALSE
"BITBURGER 4 PK CAN                  ",-1.29,FALSE
"CLAUSTHALER NA 6PK                  ",-1.62,FALSE
"FIRESTONE WALKER UNION JACK         ",-1.23,FALSE
"FISH TALE BEYOND PALE               ",-1.13,FALSE
"CASCADE LAKES HOPSMACK 6PK          ",-1.82,FALSE
"BUD 6PK BTL                         ",-1.58,FALSE
"CASCADE LAKES PDLBOARD PORTER 6PK   ",-2.1,FALSE
"MIKES HARDER BLK CHRY 16            ",-1.46,FALSE
"MIKES HARDER CRANBRY 16             ",-1.1,FALSE
"MIKES MANGO PUNCH 6-11.2OZ BTL      ",-1.23,FALSE
"MIKES SEASONAL 6PK                  ",-1.87,FALSE
"MIKES HARD LEMONADE 6PK             ",-1.5,FALSE
"MIKES HARDER STRBRY 16              ",-1.18,FALSE
"MIKES BLOOD ORANGE 16 CAN           ",-1.3,FALSE
"MIKES HARDER LEMONADE 16            ",-1.15,FALSE
"MIKES HRDR LTD ED 16 CAN            ",-1.33,FALSE
"MICHELOB ULTRA 6/12 OZ NR           ",-1.35,FALSE
"STONE RUINATION IPA 22              ",-2.31,TRUE
"STONE ARROGANT BASTARD 22           ",-1.11,FALSE
"DOGFISH HEAD 90MIN IPA 4PK          ",-2.89,TRUE
"DOGFISH FESTINA PECHE 4 PK          ",-1.29,FALSE
"GRATEFUL DEAD AMERICAN BEAUTY IPA   ",-2.09,TRUE
"SUMERIAN NARCISSISIM IPA 22         ",-2.1,TRUE
"SUMERIAN ERUPTION DOUBLE IPA 22     ",-2.05,TRUE
"PELICAN KIWANDACREAM ALE 6PK        ",-1.83,FALSE
"PELICAN TSUNAMI STOUT               ",-1.17,FALSE
"NO LI EMPIRE 8 SESSION IPA 22       ",-1.7,TRUE
