"Subject","Session","Trial","FarAway","Littered","PictureTarget.RT","Side"
6,3,4,0,0,455,"right"
6,3,5,0,0,513,"left"
6,3,6,0,0,615,"right"
6,3,7,0,0,473,"left"
6,3,8,0,0,526,"right"
6,3,9,0,0,513,"left"
6,3,10,0,0,417,"right"
6,4,1,0,0,442,"right"
6,4,2,0,0,473,"right"
6,4,3,0,0,382,"left"
6,4,4,0,0,470,"right"
6,4,5,0,0,434,"left"
6,4,6,0,0,422,"left"
6,4,7,0,0,426,"left"
6,4,8,0,0,404,"right"
6,4,9,0,0,436,"right"
6,4,10,0,0,423,"left"
8,1,1,0,0,590,"right"
8,1,2,0,0,417,"right"
8,1,3,0,0,570,"right"
8,1,4,0,0,673,"right"
8,1,5,0,0,599,"left"
8,1,6,0,0,786,"left"
8,1,7,0,0,472,"right"
8,1,8,0,0,447,"left"
8,1,9,0,0,486,"left"
8,1,10,0,0,453,"left"
8,2,1,0,0,670,"left"
8,2,2,0,0,464,"left"
8,2,3,0,0,403,"right"
8,2,4,0,0,396,"right"
8,2,5,0,0,408,"right"
8,2,6,0,0,507,"right"
8,2,7,0,0,454,"right"
8,2,8,0,0,452,"left"
8,2,9,0,0,577,"left"
8,2,10,0,0,471,"left"
8,3,1,0,0,443,"right"
8,3,2,0,0,416,"left"
8,3,3,0,0,403,"left"
8,3,4,0,0,419,"right"
8,3,5,0,0,408,"left"
8,3,6,0,0,471,"right"
8,3,7,0,0,489,"right"
8,3,8,0,0,459,"left"
8,3,9,0,0,466,"right"
8,3,10,0,0,437,"left"
8,4,1,0,0,551,"right"
8,4,2,0,0,421,"left"
8,4,3,0,0,432,"right"
8,4,4,0,0,419,"right"
8,4,5,0,0,462,"left"
8,4,6,0,0,457,"left"
8,4,7,0,0,477,"left"
8,4,8,0,0,410,"right"
8,4,9,0,0,445,"left"
8,4,10,0,0,410,"right"
9,1,1,0,0,437,"left"
9,1,2,0,0,473,"right"
9,1,3,0,0,414,"left"
9,1,4,0,0,503,"right"
9,1,5,0,0,343,"left"
9,1,6,0,0,495,"right"
9,1,7,0,0,542,"left"
9,1,8,0,0,435,"right"
9,1,9,0,0,413,"right"
9,1,10,0,0,485,"left"
9,2,1,0,0,429,"left"
9,2,2,0,0,548,"left"
9,2,3,0,0,465,"right"
9,2,4,0,0,427,"left"
9,2,5,0,0,370,"right"
9,2,6,0,0,474,"left"
9,2,7,0,0,369,"right"
9,2,8,0,0,411,"left"
9,2,9,0,0,436,"right"
9,2,10,0,0,552,"right"
9,3,1,0,0,508,"left"
9,3,2,0,0,411,"left"
9,3,3,0,0,360,"left"
9,3,4,0,0,402,"right"
9,3,5,0,0,447,"left"
9,3,6,0,0,528,"right"
9,3,7,0,0,454,"right"
9,3,8,0,0,398,"right"
9,3,9,0,0,362,"right"
9,3,10,0,0,391,"left"
9,4,1,0,0,458,"left"
9,4,2,0,0,473,"left"
9,4,3,0,0,459,"right"
9,4,4,0,0,374,"left"
9,4,5,0,0,367,"left"
9,4,6,0,0,364,"left"
9,4,7,0,0,463,"right"
9,4,8,0,0,469,"right"
9,4,9,0,0,385,"right"
9,4,10,0,0,327,"right"
10,1,11,0,1,586,"left"
10,1,12,0,1,880,"right"
10,1,13,0,1,1013,"left"
10,1,14,0,1,725,"right"
10,1,15,0,1,1135,"right"
10,1,16,0,1,702,"left"
10,1,17,0,1,591,"right"
10,1,18,0,1,593,"left"
10,1,19,0,1,833,"right"
10,1,20,0,1,644,"left"
10,2,11,0,1,478,"left"
10,2,12,0,1,545,"right"
10,2,13,0,1,615,"left"
10,2,14,0,1,558,"left"
10,2,15,0,1,494,"right"
10,2,16,0,1,429,"left"
10,2,17,0,1,525,"right"
10,2,18,0,1,522,"left"
10,2,19,0,1,505,"right"
10,2,20,0,1,539,"right"
10,3,11,0,1,652,"right"
10,3,12,0,1,528,"left"
10,3,13,0,1,622,"left"
10,3,14,0,1,520,"right"
10,3,15,0,1,480,"right"
10,3,16,0,1,421,"left"
10,3,17,0,1,372,"left"
10,3,18,0,1,562,"right"
10,3,19,0,1,634,"right"
10,3,20,0,1,578,"left"
10,4,11,0,1,446,"left"
10,4,12,0,1,478,"left"
10,4,13,0,1,447,"right"
10,4,14,0,1,610,"left"
10,4,15,0,1,677,"right"
10,4,16,0,1,445,"right"
10,4,17,0,1,387,"right"
10,4,18,0,1,425,"left"
10,4,19,0,1,459,"left"
10,4,20,0,1,397,"right"
12,1,11,0,1,867,"left"
12,1,12,0,1,686,"left"
12,1,13,0,1,813,"right"
12,1,14,0,1,653,"left"
12,1,15,0,1,594,"right"
12,1,16,0,1,611,"right"
12,1,17,0,1,539,"right"
12,1,18,0,1,609,"right"
12,1,19,0,1,747,"left"
12,1,20,0,1,695,"left"
12,2,11,0,1,394,"left"
12,2,12,0,1,617,"left"
12,2,13,0,1,497,"right"
12,2,14,0,1,637,"right"
12,2,15,0,1,711,"left"
12,2,16,0,1,504,"right"
12,2,17,0,1,577,"right"
12,2,18,0,1,516,"left"
12,2,19,0,1,502,"left"
12,2,20,0,1,495,"right"
12,3,11,0,1,583,"right"
12,3,12,0,1,587,"left"
12,3,13,0,1,540,"right"
12,3,14,0,1,701,"left"
12,3,15,0,1,415,"right"
12,3,16,0,1,478,"left"
12,3,17,0,1,535,"right"
12,3,18,0,1,592,"left"
12,3,19,0,1,710,"right"
12,3,20,0,1,616,"left"
12,4,11,0,1,574,"right"
12,4,12,0,1,554,"left"
12,4,13,0,1,578,"left"
12,4,14,0,1,385,"right"
12,4,15,0,1,516,"left"
12,4,16,0,1,601,"right"
12,4,17,0,1,467,"right"
12,4,18,0,1,485,"left"
12,4,19,0,1,388,"left"
12,4,20,0,1,440,"right"
13,1,11,0,1,588,"right"
13,1,12,0,1,636,"right"
13,1,13,0,1,482,"right"
13,1,14,0,1,512,"left"
13,1,15,0,1,463,"right"
13,1,16,0,1,522,"left"
13,1,17,0,1,562,"left"
13,1,18,0,1,454,"left"
13,1,19,0,1,501,"right"
13,1,20,0,1,431,"left"
13,2,11,0,1,487,"right"
13,2,12,0,1,411,"left"
13,2,13,0,1,357,"left"
13,2,14,0,1,397,"left"
13,2,15,0,1,530,"right"
13,2,16,0,1,530,"left"
13,2,17,0,1,492,"left"
13,2,18,0,1,541,"right"
13,2,19,0,1,407,"right"
13,2,20,0,1,392,"right"
13,3,11,0,1,507,"left"
13,3,12,0,1,489,"left"
13,3,13,0,1,518,"right"
13,3,14,0,1,573,"left"
13,3,15,0,1,462,"left"
13,3,16,0,1,442,"right"
13,3,17,0,1,385,"left"
13,3,18,0,1,505,"right"
13,3,19,0,1,573,"right"
13,3,20,0,1,568,"right"
13,4,11,0,1,493,"right"
13,4,12,0,1,348,"left"
13,4,13,0,1,487,"right"
13,4,14,0,1,747,"left"
13,4,15,0,1,508,"left"
13,4,16,0,1,363,"left"
13,4,17,0,1,464,"right"
13,4,18,0,1,461,"left"
13,4,19,0,1,408,"right"
13,4,20,0,1,348,"right"
14,1,11,0,1,592,"right"
14,1,12,0,1,805,"right"
14,1,13,0,1,612,"left"
14,1,14,0,1,593,"right"
14,1,15,0,1,490,"left"
14,1,16,0,1,572,"right"
14,1,17,0,1,608,"left"
14,1,18,0,1,531,"left"
14,1,19,0,1,583,"left"
14,1,20,0,1,535,"right"
14,2,11,0,1,347,"left"
14,2,12,0,1,439,"left"
14,2,13,0,1,494,"right"
14,2,14,0,1,549,"left"
14,2,15,0,1,400,"right"
14,2,16,0,1,340,"left"
14,2,17,0,1,467,"right"
14,2,18,0,1,392,"right"
14,2,19,0,1,393,"left"
14,2,20,0,1,534,"right"
14,3,11,0,1,509,"left"
14,3,12,0,1,402,"left"
14,3,13,0,1,379,"right"
14,3,14,0,1,408,"left"
14,3,15,0,1,573,"right"
14,3,16,0,1,555,"right"
14,3,17,0,1,488,"left"
14,3,18,0,1,545,"left"
14,3,19,0,1,532,"right"
14,3,20,0,1,505,"right"
14,4,11,0,1,390,"right"
14,4,12,0,1,477,"right"
14,4,13,0,1,400,"left"
14,4,14,0,1,525,"right"
14,4,15,0,1,417,"right"
14,4,16,0,1,508,"left"
14,4,17,0,1,443,"left"
14,4,18,0,1,408,"left"
14,4,19,0,1,491,"left"
14,4,20,0,1,910,"right"
15,1,11,0,1,536,"right"
15,1,12,0,1,570,"right"
15,1,13,0,1,552,"right"
15,1,14,0,1,651,"left"
15,1,15,0,1,594,"right"
15,1,16,0,1,632,"left"
15,1,17,0,1,561,"left"
15,1,18,0,1,444,"left"
15,1,19,0,1,691,"right"
15,1,20,0,1,515,"left"
15,2,11,0,1,571,"left"
15,2,12,0,1,403,"left"
15,2,13,0,1,537,"right"
15,2,14,0,1,468,"left"
15,2,15,0,1,519,"right"
15,2,16,0,1,644,"left"
15,2,17,0,1,488,"right"
15,2,18,0,1,495,"right"
15,2,19,0,1,440,"right"
15,2,20,0,1,674,"left"
15,3,11,0,1,522,"right"
15,3,12,0,1,388,"right"
15,3,13,0,1,574,"left"
15,3,14,0,1,484,"left"
15,3,15,0,1,645,"right"
15,3,16,0,1,390,"right"
15,3,17,0,1,373,"left"
15,3,18,0,1,490,"right"
15,3,19,0,1,582,"left"
15,3,20,0,1,511,"left"
15,4,11,0,1,484,"right"
15,4,12,0,1,394,"right"
15,4,13,0,1,601,"left"
15,4,14,0,1,479,"left"
15,4,15,0,1,425,"right"
15,4,16,0,1,483,"left"
15,4,17,0,1,451,"left"
15,4,18,0,1,386,"right"
15,4,19,0,1,575,"left"
15,4,20,0,1,442,"right"
18,1,11,0,1,699,"left"
18,1,12,0,1,747,"left"
18,1,13,0,1,709,"right"
18,1,14,0,1,792,"left"
18,1,15,0,1,529,"left"
18,1,16,0,1,887,"right"
18,1,17,0,1,601,"right"
18,1,18,0,1,583,"right"
18,1,19,0,1,579,"right"
18,1,20,0,1,533,"left"
18,2,11,0,1,594,"left"
18,2,12,0,1,330,"left"
18,2,13,0,1,408,"left"
18,2,14,0,1,496,"right"
18,2,15,0,1,628,"right"
18,2,16,0,1,941,"left"
18,2,17,0,1,715,"right"
18,2,18,0,1,778,"left"
18,2,19,0,1,575,"right"
18,2,20,0,1,435,"right"
18,3,11,0,1,627,"right"
18,3,12,0,1,631,"left"
18,3,13,0,1,524,"left"
18,3,14,0,1,746,"right"
18,3,15,0,1,645,"right"
18,3,16,0,1,615,"left"
18,3,17,0,1,1196,"right"
18,3,18,0,1,396,"right"
18,3,19,0,1,746,"left"
18,3,20,0,1,595,"left"
18,4,11,0,1,575,"right"
18,4,12,0,1,978,"left"
18,4,13,0,1,582,"left"
18,4,14,0,1,742,"right"
18,4,15,0,1,689,"left"
18,4,16,0,1,847,"right"
18,4,17,0,1,617,"left"
18,4,18,0,1,675,"right"
18,4,19,0,1,510,"left"
18,4,20,0,1,603,"right"
20,1,11,0,1,508,"left"
20,1,12,0,1,535,"right"
20,1,13,0,1,458,"right"
20,1,14,0,1,749,"left"
20,1,15,0,1,460,"left"
20,1,16,0,1,414,"right"
20,1,17,0,1,507,"left"
20,1,18,0,1,481,"right"
20,1,19,0,1,440,"right"
20,1,20,0,1,635,"left"
20,2,11,0,1,501,"right"
20,2,12,0,1,605,"left"
20,2,13,0,1,538,"right"
20,2,14,0,1,716,"right"
20,2,15,0,1,613,"left"
20,2,16,0,1,438,"right"
20,2,17,0,1,482,"left"
20,2,18,0,1,559,"left"
20,2,19,0,1,479,"right"
20,2,20,0,1,506,"left"
20,3,11,0,1,434,"right"
20,3,12,0,1,526,"right"
20,3,13,0,1,417,"left"
20,3,14,0,1,429,"left"
20,3,15,0,1,497,"left"
20,3,16,0,1,557,"right"
20,3,17,0,1,507,"left"
20,3,18,0,1,512,"left"
20,3,19,0,1,440,"right"
20,3,20,0,1,459,"right"
20,4,11,0,1,489,"left"
20,4,12,0,1,467,"right"
20,4,13,0,1,520,"right"
20,4,14,0,1,419,"right"
20,4,15,0,1,398,"right"
20,4,16,0,1,482,"left"
20,4,17,0,1,409,"left"
20,4,18,0,1,446,"left"
20,4,19,0,1,592,"left"
20,4,20,0,1,439,"right"
22,1,11,0,1,1244,"left"
22,1,12,0,1,1103,"right"
22,1,13,0,1,898,"left"
22,1,14,0,1,604,"left"
22,1,15,0,1,769,"right"
22,1,16,0,1,656,"right"
22,1,17,0,1,923,"right"
22,1,18,0,1,877,"right"
22,1,19,0,1,643,"left"
22,1,20,0,1,476,"left"
22,2,11,0,1,627,"right"
22,2,12,0,1,467,"right"
22,2,13,0,1,660,"right"
22,2,14,0,1,543,"left"
22,2,15,0,1,491,"left"
22,2,16,0,1,439,"left"
22,2,17,0,1,539,"right"
22,2,18,0,1,561,"left"
22,2,19,0,1,544,"right"
22,2,20,0,1,473,"left"
22,3,11,0,1,552,"left"
22,3,12,0,1,436,"left"
22,3,13,0,1,469,"left"
22,3,14,0,1,504,"right"
22,3,15,0,1,559,"right"
22,3,16,0,1,1062,"right"
22,3,17,0,1,581,"left"
22,3,18,0,1,658,"left"
22,3,19,0,1,467,"right"
22,3,20,0,1,426,"right"
22,4,11,0,1,444,"left"
22,4,12,0,1,496,"left"
22,4,13,0,1,573,"left"
22,4,14,0,1,588,"right"
22,4,15,0,1,418,"right"
22,4,16,0,1,464,"left"
22,4,17,0,1,440,"right"
22,4,18,0,1,596,"right"
22,4,19,0,1,470,"left"
22,4,20,0,1,412,"right"
26,1,11,0,1,523,"right"
26,1,12,0,1,528,"left"
26,1,13,0,1,496,"right"
26,1,14,0,1,583,"right"
26,1,15,0,1,503,"left"
26,1,16,0,1,587,"left"
26,1,17,0,1,592,"right"
26,1,18,0,1,600,"left"
26,1,19,0,1,724,"right"
26,1,20,0,1,577,"left"
26,2,11,0,1,459,"left"
26,2,12,0,1,573,"left"
26,2,13,0,1,440,"left"
26,2,14,0,1,692,"right"
26,2,15,0,1,675,"right"
26,2,16,0,1,571,"left"
26,2,17,0,1,525,"left"
26,2,18,0,1,585,"right"
26,2,19,0,1,577,"right"
26,2,20,0,1,501,"right"
26,3,11,0,1,617,"left"
26,3,12,0,1,447,"left"
26,3,13,0,1,431,"left"
26,3,14,0,1,607,"right"
26,3,15,0,1,475,"left"
26,3,16,0,1,428,"left"
26,3,17,0,1,454,"right"
26,3,18,0,1,449,"right"
26,3,19,0,1,545,"right"
26,3,20,0,1,465,"right"
