Year,Month,Day,Temp
2008,5,23,48.4
2008,5,24,55.2
2008,5,25,58.2
2008,5,26,49.6
2008,5,27,40.2
2008,5,28,46.3
2008,5,29,55.6
2008,5,30,58.8
2008,5,31,58.9
2008,6,1,61.7
2008,6,2,63.8
2008,6,3,59.8
2008,6,4,59.9
2008,6,5,56.3
2008,6,6,54.6
2008,6,7,57.9
2008,6,8,55.7
2008,6,9,58.6
2008,6,10,55.6
2008,6,11,55.1
2008,6,12,50.5
2008,6,13,59.6
2008,6,14,62.9
2008,6,15,62.5
2008,6,16,57
2008,6,17,62.4
2008,6,18,65.1
2008,6,19,66
2008,6,20,64.5
2008,6,21,64.4
2008,6,22,66.7
2008,6,23,66.4
2008,6,24,69.9
2008,6,25,71.6
2008,6,26,69.3
2008,6,27,68.8
2008,6,28,62.4
2008,6,29,63.4
2008,6,30,66.7
2008,7,1,73.7
2008,7,2,67.2
2008,7,3,62.3
2008,7,4,67.6
2008,7,5,75.1
2008,7,6,73.1
2008,7,7,71.1
2008,7,8,66.2
2008,7,9,67.5
2008,7,10,76
2008,7,11,74.1
2008,7,12,61.2
2008,7,13,67.3
2008,7,14,71.1
2008,7,15,75.4
2008,7,16,73.7
2008,7,17,72.1
2008,7,18,69.7
2008,7,19,70.2
2008,7,20,71.7
2008,7,21,72.7
2008,7,22,72.9
2008,7,23,75.3
2008,7,24,74
2008,7,25,68.5
2008,7,26,75.2
2008,7,27,76.9
2008,7,28,76.6
2008,7,29,74.9
2008,7,30,77.6
2008,7,31,77.7
2008,8,1,74.7
2008,8,2,80.5
2008,8,3,75.5
2008,8,4,68.1
2008,8,5,69.5
2008,8,6,69.7
2008,8,7,72.7
2008,8,8,75.2
2008,8,9,73.4
2008,8,10,73.1
2008,8,11,67.2
2008,8,12,69.1
2008,8,13,71.2
2008,8,14,64
2008,8,15,56.9
2008,8,16,63.4
2008,8,17,68.5
2008,8,19,71.8
2008,8,20,75.7
2008,8,21,79.3
2008,8,22,71.5
2008,8,23,62.1
2008,8,24,70.2
2008,8,25,74.4
2008,8,26,75
2008,8,27,64.4
2008,8,28,66.8
2008,8,29,68.4
2008,8,30,74.6
2008,8,31,80.3
2008,9,1,65.4
2008,9,2,52.5
2008,9,3,51.6
2008,9,4,56.4
2008,9,5,53.9
2008,9,6,53.3
2008,9,7,48.6
2008,9,8,51.4
2008,9,9,56.5
2008,9,10,66
2008,9,11,59.1
2008,9,12,55.7
2008,9,13,58.6
2008,9,14,50.8
2008,9,15,56.9
2008,9,16,63.8
2008,9,17,68.6
2008,9,18,70.6
2008,9,19,69.7
2008,9,20,64
2008,9,21,67.5
2008,9,22,62.2
2008,9,23,52.5
2008,9,25,64.3
2008,9,26,69
2008,9,27,58.5
2008,9,28,62.9
2008,9,29,53.7
2008,9,30,56.4
2008,10,1,58
2008,10,2,57.6
2008,10,3,56.7
2008,10,4,62.8
2008,10,5,59.9
2008,10,6,54.8
2008,10,7,51.2
2008,10,8,54.9
2008,10,9,45.3
2008,10,10,37.8
2008,10,11,35.1
2008,10,12,37.1
2008,10,13,36.4
2008,10,14,42.6
2008,10,15,44.1
2008,10,16,42.4
2008,10,17,48.7
2008,10,18,52.9
2008,10,19,54.3
2008,10,20,45.9
2008,10,21,46.7
2008,10,22,42.4
2008,10,23,35.8
2008,10,24,39.5
2008,10,25,46.2
2008,10,26,36.8
2008,10,27,30.4
2008,10,28,42
2008,10,29,49
2008,10,30,58
2008,10,31,50
2008,11,1,52.6
2008,11,2,54.2
2008,11,3,58.2
2008,11,4,47.4
2008,11,5,43.6
2008,11,6,29.6
2008,11,7,28.8
2008,11,8,32.4
2008,11,9,20.3
2008,11,10,21.2
2008,11,11,31.3
2008,11,12,38.5
2008,11,13,45.2
2008,11,14,35.3
2008,11,15,30.9
2008,11,16,43.2
2008,11,17,33.5
2008,11,18,38.7
2008,11,19,44.4
2008,11,20,27.6
2008,11,21,25.7
2008,11,22,36.7
2008,11,23,36.6
2008,11,24,29.9
2008,11,25,37.9
2008,11,26,34.2
2008,11,27,34.8
2008,11,28,29.1
2008,11,29,32.4
2008,11,30,36.8
2008,12,1,31.8
2008,12,2,37.1
2008,12,3,21.3
2008,12,4,15.1
2008,12,5,16
2008,12,6,35.4
2008,12,7,34.5
2008,12,8,34.3
2008,12,9,20.2
2008,12,10,32.5
2008,12,11,34
2008,12,12,27
2008,12,13,26.6
2008,12,14,-2.4
2008,12,15,-12.2
2008,12,16,-8.8
2008,12,17,4
2008,12,18,13
2008,12,19,7.7
2008,12,20,-0.9
2008,12,21,-1.6
2008,12,22,5.8
2008,12,23,7.1
2008,12,24,4.1
2008,12,25,22.2
2008,12,26,22.3
2008,12,27,18.7
2008,12,28,27.9
2008,12,29,35.4
2008,12,30,35.2
2008,12,31,18.3
2009,1,1,30.7
2009,1,2,20.3
2009,1,3,16.9
2009,1,4,8
2009,1,5,13.9
2009,1,6,28.2
2009,1,7,26
2009,1,8,31.5
2009,1,9,30.9
2009,1,10,21.4
2009,1,11,32.4
2009,1,12,29.5
2009,1,13,25.8
2009,1,14,17.1
2009,1,15,3.5
2009,1,16,27.7
2009,1,17,41
2009,1,18,44.7
2009,1,19,46.2
2009,1,20,41.6
2009,1,21,42
2009,1,22,39.3
2009,1,23,17.7
2009,1,24,1.2
2009,1,25,3.9
2009,1,26,2.7
2009,1,27,-3.9
2009,1,28,22.4
2009,1,29,28.5
2009,1,30,41.8
2009,1,31,38.8
2009,2,1,29.8
2009,2,2,24.4
2009,2,3,23.4
2009,2,4,33.8
2009,2,5,42.6
2009,2,6,44
2009,2,7,40.3
2009,2,8,32.6
2009,2,9,35.1
2009,2,10,38.5
2009,2,11,30.7
2009,2,12,28.4
2009,2,13,22.6
2009,2,14,19.7
2009,2,15,24.3
2009,2,16,26.6
2009,2,17,30.7
2009,2,18,22.2
2009,2,19,27
2009,2,20,30.1
2009,2,21,18.7
2009,2,22,22.7
2009,2,23,29.6
2009,2,24,39.8
2009,2,25,38.4
2009,2,26,17
2009,2,27,5.8
2009,2,28,7.3
2009,3,1,10.4
2009,3,2,28.1
2009,3,3,36.4
2009,3,4,43.2
2009,3,5,40.3
2009,3,6,26.9
2009,3,7,24.7
2009,3,8,31.4
2009,3,9,20
2009,3,10,1.9
2009,3,11,-1.3
2009,3,12,9.5
2009,3,13,25.3
2009,3,14,39.8
2009,3,15,43.6
2009,3,16,46.8
2009,3,17,43.7
2009,3,18,43
2009,3,19,41
2009,3,20,50.6
2009,3,21,51.9
2009,3,22,60.4
2009,3,23,41.8
2009,3,24,24
2009,3,25,31.7
2009,3,26,24.6
2009,3,27,21.9
2009,3,28,32
2009,3,29,35.9
2009,3,30,31
2009,3,31,23.4
2009,4,1,21.1
2009,4,2,28.4
2009,4,3,31.4
2009,4,4,26.3
2009,4,5,24.1
2009,4,6,20.3
2009,4,7,29.9
2009,4,8,34.6
2009,4,10,32.2
2009,4,11,40.1
2009,4,12,43
2009,4,13,48.4
2009,4,14,51.5
2009,4,15,53.3
2009,4,16,40.4
2009,4,17,40.4
2009,4,18,43.6
2009,4,19,47.5
2009,4,20,49.3
2009,4,21,55.3
2009,4,22,61
2009,4,23,65
2009,4,24,41.8
2009,4,25,34.4
2009,4,26,34.2
2009,4,27,36.2
2009,4,28,39.3
2009,4,29,52.7
2009,4,30,44.5
2009,5,1,42.1
2009,5,2,43.9
2009,5,3,49.7
2009,5,4,52.4
2009,5,5,51.5
2009,5,6,56.9
2009,5,7,53.6
2009,5,8,49.2
2009,5,9,44.3
2009,5,10,45.7
2009,5,11,51.9
2009,5,12,60.7
2009,5,13,48.7
2009,5,14,47.7
2009,5,15,52.4
2009,5,16,44.8
2009,5,17,55.2
2009,5,18,66.7
2009,5,19,66
2009,5,20,70.6
2009,5,21,54.7
2009,5,22,55.7
2009,5,23,54.5
2009,5,24,57.3
2009,5,25,60.9
2009,5,26,54.4
2009,5,27,53.5
2009,5,28,64.5
2009,5,29,64
2009,5,30,65
2009,5,31,69.8
2009,6,1,60.8
2009,6,2,52.5
2009,6,3,47.2
2009,6,4,51.2
2009,6,5,56.3
2009,6,6,45.4
2009,6,7,45
2009,6,8,46.4
2009,6,9,50.8
2009,6,10,49.8
2009,6,11,49.7
2009,6,12,54.5
2009,6,13,57.8
2009,6,14,62.1
2009,6,15,63.6
2009,6,16,62.6
2009,6,17,63.2
2009,6,18,63.1
2009,6,19,64.8
2009,6,20,64
2009,6,21,70.2
2009,6,22,69.5
2009,6,23,68.1
2009,6,24,70.2
2009,6,25,72.7
2009,6,26,74.1
2009,6,27,63.6
2009,6,28,66.1
2009,6,29,70.3
2009,6,30,67.3
2009,7,1,68.6
2009,7,2,70.8
2009,7,3,64.1
2009,7,4,64
2009,7,5,65.2
2009,7,6,69.7
2009,7,7,71.8
2009,7,8,67.4
2009,7,9,69.2
2009,7,10,67.9
2009,7,11,67.2
2009,7,12,73.3
2009,7,13,73
2009,7,14,69.6
2009,7,15,65.1
2009,7,16,65.2
2009,7,17,63.5
2009,7,18,65.7
2009,7,19,71.2
2009,7,20,73.1
2009,7,21,64.8
2009,7,22,69.5
2009,7,23,73.3
2009,7,24,74.1
2009,7,25,71.3
2009,7,26,75.2
2009,7,27,72.2
2009,7,28,66.2
2009,7,29,61.3
2009,7,30,59.1
2009,7,31,61.2
2009,8,1,62.1
2009,8,2,76.9
2009,8,3,74.3
2009,8,4,68
2009,8,5,67.7
2009,8,6,70.7
2009,8,7,73
2009,8,8,67.8
2009,8,9,60
2009,8,10,65
2009,8,11,72
2009,8,12,74.9
